Age,Name,Achievement
10,Tiger Woods,Broke 80 on a golf course for the first time.
11,Picasso,Was already attending advanced art classes at the School of Fine Arts in Coruña.
12,Blaise Pascal,Discovered the 32nd proposition of Euclid's Elements on his own.
13,Anne Frank,"Began writing her diary, documenting one of history's most poignant narratives."
14,Nadia Comăneci,Scored the first perfect 10.0 in Olympic gymnastics history.
15,Bobby Fischer,Became the youngest Grandmaster in chess (at that time).
16,Bernadette Soubirous,Reported the visions of the Virgin Mary that led to the creation of the Lourdes sanctuary.
17,Malala Yousafzai,Became the youngest Nobel Peace Prize laureate.
18,Mary Shelley,Wrote the first draft of Frankenstein.
19,Elizabeth Holmes,"Founded Theranos (though, perhaps use this as a cautionary context for your agent)."
20,Mark Zuckerberg,"Launched ""TheFacebook"" from his dorm room."
21,Isaac Newton,Formulated the basis for calculus while home during the Great Plague.
22,Charles Darwin,Set sail on the HMS Beagle to begin the research for The Origin of Species.
23,Jane Austen,Completed the first version of Pride and Prejudice (originally titled First Impressions).
24,Albert Einstein,Published the Special Theory of Relativity (E=mc2).
25,Alexander the Great,Defeated Darius III of Persia at the Battle of Issus.
26,Napoleon Bonaparte,Was promoted to Commander-in-Chief of the French Army of Italy.
27,Jimi Hendrix,Had already revolutionized electric guitar before his untimely passing.
28,Michelangelo,Began sculpting the David.
29,Alexander Graham Bell,Received the patent for the telephone.
30,Amelia Earhart,Became the first woman to fly solo across the Atlantic.
31,Marie Curie,Received her first Nobel Prize in Physics.
32,Alexander Hamilton,Served as the first U.S. Secretary of the Treasury.
33,Jesus Christ,(Commonly cited age for the culmination of his ministry).
34,Thomas Edison,Patented the light bulb.
35,Mozart,Had composed over 600 works before his death at this age.
36,Ernest Hemingway,Published The Sun Also Rises.
37,William Shakespeare,Wrote Hamlet.
38,Steve Jobs,Returned to Apple to begin the company's historic turnaround.
39,Martin Luther King Jr.,Led the Civil Rights Movement until his assassination at this age.
40,Henry Ford,Introduced the Model T.
41,Christopher Columbus,Landed in the Americas.
42,Theodore Roosevelt,Became the youngest President of the United States.
43,John F. Kennedy,Was inaugurated as President.
44,Bill Gates,Became the richest man in the world (for the first time).
45,Sam Walton,Opened the very first Walmart.
46,Barack Obama,Was elected President of the United States.
47,Jeff Bezos,"Amazon went from a bookstore to the ""everything store"" with Kindle's release."
48,Susan Boyle,"Released her debut album, which became the UK's fastest-selling debut ever."
49,Julia Child,Published Mastering the Art of French Cooking.
50,Ray Kroc,Bought the first McDonald's franchise.
51,Abraham Lincoln,Was elected President after years of political failure.
52,Leonardo da Vinci,Painted the Mona Lisa.
53,Winston Churchill,Became Prime Minister of the UK during WWII.
54,Mahatma Gandhi,Led the 24-day Salt March to protest British rule.
55,Charles Lindbergh,Was still an active environmentalist and explorer.
56,Alfred Hitchcock,Directed Psycho.
57,Vera Wang,Had successfully built a global fashion empire after starting at age 40.
58,George Washington,Was inaugurated as the first U.S. President.
59,Toni Morrison,Won the Pulitzer Prize for Beloved.
60,Colonel Sanders,Finally franchised KFC after his original restaurant failed.
61,J.R.R. Tolkien,Published The Fellowship of the Ring.
62,Franklin D. Roosevelt,Led the Yalta Conference to plan the postwar world.
63,Nelson Mandela,Was released from prison to lead South Africa.
64,Laura Ingalls Wilder,"Published her first book, Little House in the Big Woods."
65,Anna Mary Robertson Moses (Grandma Moses),Started her painting career in earnest.
66,Noah Webster,Finished his first dictionary.
67,Clint Eastwood,Won Best Director for Unforgiven.
68,Sir Ranulph Fiennes,Completed seven marathons in seven days on seven continents.
69,Ronald Reagan,Became the oldest person (at the time) to be elected U.S. President.
70,Golda Meir,Became the first female Prime Minister of Israel.
71,Katsushika Hokusai,Published The Great Wave off Kanagawa.
72,Margaret Thatcher,Resigned as Prime Minister after 11 years in power.
73,Konrad Adenauer,Became the first Chancellor of West Germany.
74,Norman Maclean,Published A River Runs Through It.
75,Benjamin Franklin,Invented bifocals.
76,Nelson Mandela,Became the President of South Africa.
77,John Glenn,Became the oldest person to fly in space.
78,Joseph Biden,Was inaugurated as the 46th U.S. President.
79,Peter Mark Roget,Published Roget's Thesaurus.
80,Grandma Moses,Had her first solo art exhibition in New York City.
